time_ns,cycle,segment,state,gyro_signed_code,adin_mapped,drotate_dbg,daout
2563000,85,0,0,36,2084,90706,23254
4688000,170,0,1,26,2073,1300,2134
6813000,255,0,2,14,2062,4294877558,20
8938000,340,0,3,4,2051,4294966668,25409
11063000,425,0,0,-8,2040,0,23295
13188000,510,0,1,-18,2029,0,6404
15313000,595,0,2,-30,2018,0,4290
17438000,680,0,3,-40,2007,0,25451
19563000,765,0,0,44,2092,91058,27565
21688000,850,0,1,34,2081,916,6460
23813000,935,0,2,22,2070,4294877206,4346
25938000,1020,0,3,12,2059,4294965996,25515
28063000,1105,0,0,0,2048,89122,27629
30188000,1190,0,1,-10,2037,4294966580,6506
32313000,1275,0,2,-22,2026,4294877414,4392
34438000,1360,0,3,-32,2015,1100,25555
36563000,1445,0,0,-44,2004,91026,27669
38688000,1530,0,1,42,2089,148,6554
40813000,1615,0,2,30,2078,4294876854,4440
42938000,1700,0,3,20,2067,4294965996,25596
45063000,1785,0,0,8,2056,89474,27710
47188000,1870,0,1,-2,2045,52,6586
49313000,1955,0,2,-14,2034,4294877830,4472
51438000,2040,1,3,156,2203,7040,25687
53563000,2125,1,0,144,2192,98530,27801
55688000,2210,1,1,-226,1821,15940,6992
57813000,2295,1,2,-142,1906,4294884422,4878
59938000,2380,1,3,208,2255,15260,26539
62063000,2465,1,0,196,2244,97746,28653
64188000,2550,1,1,-174,1873,17380,8314
66313000,2635,1,2,-186,1862,4294886166,6200
68438000,2720,1,3,164,2211,17660,28355
70563000,2805,1,0,152,2200,98114,30469
72688000,2890,1,1,-218,1829,15460,10593
74813000,2975,1,2,-134,1914,4294884070,8479
76938000,3060,1,3,216,2263,15836,31075
79063000,3145,1,0,204,2252,98098,33189
81188000,3230,1,1,-166,1881,17860,13793
83313000,3315,1,2,-178,1870,4294886006,11679
85438000,3400,1,3,172,2219,17084,34774
87563000,3485,1,0,160,2208,97698,36888
89688000,3570,1,1,-210,1837,15460,17953
91813000,3655,1,2,-222,1826,4294884294,15839
93938000,3740,1,3,224,2271,16604,39382
96063000,3825,1,0,212,2260,98450,41496
98188000,3910,1,1,-158,1889,17860,23046
100313000,3995,1,2,-170,1878,4294885654,20932
102438000,4080,2,3,-180,1867,4294965612,44818
104563000,4165,2,0,-192,1856,81442,46932
106688000,4250,2,1,158,2205,4294949636,28254
108813000,4335,2,2,146,2194,4294868870,26140
110938000,4420,2,3,-224,1823,4294951548,49542
113063000,4505,2,0,-140,1908,82962,51656
115188000,4590,2,1,210,2257,4294952036,32532
117313000,4675,2,2,198,2246,4294869462,30418
119438000,4760,2,3,-172,1875,4294949724,53369
121563000,4845,2,0,-184,1864,81026,55483
123688000,4930,2,1,166,2213,4294949636,35869
125813000,5015,2,2,154,2202,4294869286,33755
127938000,5100,2,3,-216,1831,4294951836,56224
130063000,5185,2,0,-228,1820,83314,58338
132188000,5270,2,1,218,2265,4294951268,38269
134313000,5355,2,2,206,2254,4294869110,36155
136438000,5440,2,3,-164,1883,4294949436,58154
138563000,5525,2,0,-176,1872,81378,60268
140688000,5610,2,1,174,2221,4294950404,39716
142813000,5695,2,2,162,2210,4294869702,37602
144938000,5780,2,3,-208,1839,4294951836,59135
147063000,5865,2,0,-220,1828,82898,61249
149188000,5950,2,1,226,2273,4294950500,40232
151313000,6035,0,2,34,2082,4294874878,38118
153438000,6120,0,3,24,2071,4294964196,59289
155563000,6205,0,0,12,2060,89650,61403
157688000,6290,0,1,2,2049,436,40301
159813000,6375,0,2,-10,2038,4294878038,38187
161938000,6460,0,3,-20,2027,1100,59376
164063000,6545,0,0,-32,2016,90402,61490
166188000,6630,0,1,-42,2005,4294966292,40383
168313000,6715,0,2,42,2090,4294876326,38269
170438000,6800,0,3,32,2079,4294966188,59429
172563000,6885,0,0,20,2068,90002,61543
174688000,6970,0,1,10,2057,1204,40442
